(\a.aa)(\a.(\b.b)(\b.b)),3,8,12
(\a.(\b.b)(\b.b))((\a.aa)(\a.a)),7,8,14
(\a.(\b.b)a)((\a.aa)(\a.a)),6,8,14
(\ab.b)((\a.aa)((\a.a)(\a.a))),4,8,16
(\a.(\b.b)(\b.b))((\a.a)((\a.a)(\a.a))),1,8,16
(\a.(\b.b)(\b.b))((\ab.b)((\a.a)(\a.a))),1,8,16
(\a.aa)((\a.a)(\a.a))((\a.aa)(\a.aa)),1,8,18
(\a.aa(aa))(\ab.ba),1,9,10
(\a.aa(\b.b))((\ab.b)(\a.a)),4,9,11
(\a.aa(\b.b))((\ab.a)(\a.aa)),1,9,11
(\a.a)(\a.a)((\a.aa)(\ab.a)),17,9,12
(\a.a)(\a.aa)((\a.a)(\ab.b)),5,9,12
(\a.a)(\a.aa)((\a.a)(\a.a)),1,9,12
(\a.(\b.b)(aa))(\a.a(\b.b)),1,9,12
(\a.aa(\b.b))(\a.(\b.b)(\b.b)),1,9,13
(\a.aa(\b.b))(\a.(\b.b)a),1,9,14
(\a.a)(\a.a)((\ab.b)((\a.a)(\a.a))),6,9,15
(\a.(\b.b)a)((\a.aa)(\ab.a)),3,9,15
(\a.a)(\a.a)(\a.aa)((\a.a)(\a.a)(\a.aa)),1,9,15
(\a.a)(\a.aa)((\a.a)(\a.a)(\a.aa)),1,9,15
(\a.aa)((\a.a)(\a.a)(\a.aa)),1,9,15
